Formula,Filename,Entry prototype,num_elements,4b,4a,G2,G1
NZr,532563.cif,"NaCl,cF8,225",2,Zr,N,Zr,N
PbTe,529600.cif,"NaCl,cF8,225",2,Te,Pb,Te,Pb
CaS,530979.cif,"NaCl,cF8,225",2,S,Ca,S,Ca
CU,532845.cif,"NaCl,cF8,225",2,U,C,U,C
NSm,531936.cif,"NaCl,cF8,225",2,N,Sm,N,Sm
NdS,457759.cif,"NaCl,cF8,225",2,S,Nd,S,Nd
PPu,1300994.cif,"NaCl,cF8,225",2,P,Pu,P,Pu
SeTb,251923.cif,"NaCl,cF8,225",2,Se,Tb,Se,Tb
SbY,457082.cif,"NaCl,cF8,225",2,Sb,Y,Sb,Y
TeYb,251991.cif,"NaCl,cF8,225",2,Te,Yb,Te,Yb
CTh,250114.cif,"NaCl,cF8,225",2,Th,C,Th,C
AmBi,458627.cif,"NaCl,cF8,225",2,Bi,Am,Bi,Am
SSc,450424.cif,"NaCl,cF8,225",2,Sc,S,Sc,S
PU,456661.cif,"NaCl,cF8,225",2,P,U,P,U
IK,1300919.cif,"NaCl,cF8,225",2,I,K,I,K
CNp,456395.cif,"NaCl,cF8,225",2,C,Np,C,Np
FLi,1300940.cif,"NaCl,cF8,225",2,F,Li,F,Li
EuS,534507.cif,"NaCl,cF8,225",2,S,Eu,S,Eu
SYb,251993.cif,"NaCl,cF8,225",2,S,Yb,S,Yb
PrSe,531686.cif,"NaCl,cF8,225",2,Se,Pr,Se,Pr
